afid,parent_afid
60088055,60001681
60107243,60001681
60112942,60001681
60076841,60076509
60091248,60076509
60077546,60018290
60009515,60018290
60077754,60032170
60010254,60013913
60090476,60013913
60017857,60002457
60007950,60002457
60018924,60026478
60026934,60026478
60000404,60026478
60015984,60026478
60101197,60026478
60023357,60074952
60096653,60074952
60074963,60074952
60102609,60074952
60088241,60074952
60007207,60074952
60012109,60074952
60012234,60074952
60006722,60074952
60021637,60016159
60077302,60002583
60011035,60024780
60011972,60019228
60021706,60019228
60001982,60019228
60024076,60009503
60016853,60010352
60010630,60010352
60013487,60010352
60009836,60010352
60021390,60007977
60018858,60108065
60019750,60005873
60014566,60003515
60006157,60003515
60030001,60025500
60008883,60025500
60075105,60025236
60111163,60111165
60006191,60111165
60116922,60111165
60111160,60111165
60026044,60005407
60023512,60005407
60005540,60005407
60028182,60024586
60100743,60100742
60026719,60000787
60000407,60024727
60025374,60015791
60003861,60015791
60028530,60007161
60006713,60007161
60010624,60007161
60018398,60017635
60010820,60017635
60013444,60017635
60025717,60026798
60008994,60026798
60012559,60026798
60001075,60013357
60000200,60022606
60028443,60011425
60116324,60020420
60018591,60016943
60000003,60016943
60010549,60016943
60015052,60016943
60021048,60001673
60113039,60113038
60017387,60014715
60025095,60000451
60004087,60012222
60022481,60017205
60077130,60074592
60026566,60008040
60093643,60008040
60020067,60008040
60015864,60003892
60004372,60003892
60004683,60003892
60003699,60003892
60086304,60003892
60093724,60003892
60093787,60003892
60093807,60003892
60009043,60003892
60093810,60003892
60116796,60003892
60012562,60003892
60116379,60003892
60016091,60030639
60103035,60031934
60031532,60017640
60028618,60010256
60008335,60012960
60006481,60014300
60079146,60014300
60024136,60014300
60008383,60014300
60012230,60014300
60004458,60014300
60027826,60008853
60023694,60011754
60018384,60011754
60013674,60011754
60010469,60011754
60001085,60011754
60031288,60011754
60009974,60011754
60075002,60011754
60027574,60004819
60014801,60105348
60024399,60105348
60007872,60029246
60023432,60029246
60033488,60029246
60015593,60017974
60024457,60017974
60030633,60013567
60002381,60013567
60012097,60013567
60005258,60013567
60012977,60015958
60102851,60025086
60102854,60025086
60024444,60025086
60000988,60025086
60102852,60025086
60003259,60025086
60006519,60025086
60102853,60025086
60102855,60025086
60001749,60025086
60093657,60025086
60018485,60025086
60077094,60025086
60010211,60025086
60025207,60010171
60002365,60010171
60005086,60010171
60022263,60010171
60011122,60000175
60083521,60000175
60000037,60010972
60031146,60010972
60024896,60010972
60013884,60031884
60016883,60026148
60002688,60026148
60033479,60026097
60107846,60002441
60009295,60002441
60000278,60002441
60017203,60002441
60027347,60002441
60001793,60002441
60008978,60002441
60018083,60002441
60006804,60031742
60031917,60031742
60026935,60031742
60074469,60031742
60017310,60031742
60031326,60031742
60005525,60019596
60003775,60019596
60022825,60019596
60028390,60010521
60018993,60021142
60020225,60112297
60026745,60013305
60093773,60013305
60093772,60013305
60075108,60020916
60018266,60020916
60097406,60020916
60005529,60001456
60026957,60010821
60012419,60010821
60011271,60031281
60003526,60019674
60009611,60019674
60006385,60019674
60116524,60019674
60018701,60019674
60028144,60019674
60112441,60019674
60016120,60000144
60003017,60000144
60003883,60006832
60003562,60006832
60116518,60006832
60020504,60006832
60077756,60002717
60014178,60002717
60011369,60002717
60011480,60002717
60001149,60002717
60007984,60016608
60025119,60006221
60076240,60009428
60021006,60011460
60017169,60011460
60005454,60011460
60003486,60011460
60028546,60011460
60026115,60011460
60021025,60011460
60009796,60011460
60025886,60006477
60003117,60006477
60002126,60006477
60007941,60006477
60033081,60006477
60074364,60006477
60030844,60006477
60015982,60006477
60026076,60006477
60033062,60006477
60020733,60078416
60026744,60074727
60024189,60019469
60024204,60019469
60076517,60019469
60076520,60019469
60025706,60019469
60076518,60019469
60031030,60019469
60011105,60019469
60017508,60019469
60003738,60019469
60001559,60019469
60013970,60019469
60076519,60019469
60086778,60019469
60006979,60019469
60101306,60013273
60101307,60013273
60018411,60013273
60032872,60012748
60098850,60012748
60004270,60031581
60019402,60031581
60086312,60031581
60000275,60031581
60011911,60031581
60008123,60031581
60000933,60031581
60086311,60031581
60029250,60021137
60096497,60011116
60006172,60011621
60028606,60011621
60006423,60002558
60091916,60091915
60010317,60027534
60025418,60027534
60077293,60006295
60114024,60077615
60019857,60003813
100312123,60024613
60002312,60024613
60001032,60027950
60027437,60027950
60114175,60027950
60076258,60027950
60116234,60027950
60104841,60027950
60026874,60103180
60102483,60103180
60116300,60000305
60006404,60000305
60080345,60000305
60115230,60000305
60027486,60000305
60021578,60000305
60031833,60000305
60077171,60000305
60116612,60000305
60019604,60009934
60076084,60016173
60022358,60015228
60002993,60031027
60032692,60021658
60023808,60021658
60106655,60021658
60007216,60021658
60033054,60021658
60028982,60021658
60030966,60021658
60077228,60021658
60012318,60021658
60018507,60021658
60005173,60021658
60000177,60021658
60010078,60021658
60024623,60021658
60011584,60021658
60031551,60021658
60020465,60021658
60009746,60021658
60002473,60107427
60108094,60013194
60031179,60013194
60108095,60013194
60024900,60013194
60015736,60013194
60028233,60013194
60028912,60002958
60028866,60002958
60027477,60002958
60008261,60002860
60005317,60017031
60005007,60005723
60029309,60005723
60017571,60019029
60004048,60019029
60007389,60019029
60020070,60019029
60028614,60033411
60076640,60006830
60007554,60030440
60077001,60030003
60077231,60030003
60077201,60011045
60098639,60098638
60010650,60027062
60030528,60007033
60099784,60007033
60092668,60007033
60023814,60007033
60028458,60007033
60010187,60007033
60000429,60007033
60008096,60007033
60029759,60007033
60098146,60007033
60002896,60007033
60014511,60007033
60012518,60007033
60024611,60007033
60007707,60007033
60004489,60007033
60098814,60007033
60003937,60007033
60016441,60007033
60032373,60007033
60022008,60007033
60023558,60026610
60012505,60026610
60102363,60026610
60019149,60026610
60011471,60026610
60000955,60029770
60005477,60021160
60090080,60021160
60021689,60021160
60019074,60021160
60086603,60021160
60032732,60021160
60084100,60016535
109596209,60029652
60009464,60023136
60116053,60016114
60016053,60016114
60092602,60111815
60093019,60111815
60003642,60031948
60015535,60009226
60030159,60009226
60093250,60009226
60025472,60030162
60084782,60030162
60027552,60030162
60006539,60030162
60005691,60030162
60027565,60030162
60001864,60030162
60089339,60030162
60026454,60030162
60014211,60030162
60098179,60030162
60033011,60030162
60020055,60030162
60025843,60030162
60029358,60030162
60027041,60030162
60011605,60030162
60084783,60017823
60100144,60017823
60021522,60016895
60076525,60019634
60007373,60030882
60026663,60026722
60011488,60026722
60009398,60026722
60028544,60026722
60077626,60026722
60020901,60026722
60010424,60026722
60013797,60031738
60013846,60116888
60015577,60007776
60007526,60007776
60009552,60007776
60028072,60007776
60074859,60007776
60011997,60007776
60003719,60007776
60008774,60007776
60116635,60007776
60104837,60007776
60012094,60007776
60001788,60007776
60013798,60007776
60030638,60007776
60025303,60007776
60104840,60007776
60019493,60007776
60025849,60007776
60000247,60007776
60026978,60007776
60012732,60007776
60019868,60007776
60007997,60007776
60109878,60007776
60010605,60000574
60030895,60102808
60012294,60009378
60022991,60012028
60025396,60012028
60020248,60012028
60013661,60012028
60002998,60012028
60017907,60012028
60006198,60012028
60011763,60012028
60010474,60012028
60024081,60104700
60080010,60090138
60030527,60008417
60009229,60010756
60032305,60010756
60033410,60010756
60004859,60010756
60024248,60010756
60001844,60010756
60007267,60010756
60032015,60010756
60022820,60010756
60007480,60010756
60030443,60010756
60076581,60010756
60017072,60010756
60007725,60024595
60017734,60005113
60007667,60005113
60102777,60016611
60027630,60016611
60102778,60016611
60103987,60016611
60011445,60030563
60018665,60030563
60020478,60030563
60025117,60031939
60098407,60023695
60012838,60023695
60105810,60023695
60105861,60023695
60010755,60023695
60105917,60023695
60033290,60023695
60021087,60023695
60074595,60023695
60012281,60023695
60020212,60023695
60030910,60023695
60024679,60023695
60105921,60023695
60022030,60023695
60014521,60023695
60007873,60023695
60005937,60023695
60002159,60023695
60015022,60023695
60022145,60023695
60032547,60023695
60010020,60023695
60105924,60023695
60033372,60023695
60074459,60023695
60012104,60023695
60018425,60023695
60016164,60023695
60025004,60023695
60022762,60023695
60105922,60023695
60015165,60023695
60011641,60023695
60002320,60023695
60105860,60023695
60031709,60023695
60021215,60023695
60025164,60023695
60031804,60023695
60020446,60023695
60026984,60023695
60032904,60023695
60001421,60023695
60105925,60023695
60105915,60023695
60084773,60023695
60028251,60023695
60009350,60023695
60002223,60023695
60105859,60023695
60105923,60023695
60015485,60023695
60074885,60023695
60007990,60023695
60000350,60023695
60090854,60023695
60006125,60023695
60105937,60023695
60105918,60023695
60004786,60023695
60105857,60023695
60011058,60023695
60014095,60023695
60105856,60023695
60004768,60023695
60022556,60023695
60030419,60023695
60009511,60023695
60085690,60023695
60105938,60023695
60007073,60023695
60023621,60023695
60022482,60023695
60009004,60023695
60021513,60023695
60105919,60023695
60105916,60023695
60105858,60023695
60031774,60023695
60014050,60023695
60028084,60023695
60079887,60023695
60029074,60023695
60000342,60023695
60105920,60023695
60006674,60023695
60105926,60023695
60018615,60023695
60011319,60023695
60002586,60023695
60020403,60023695
60020147,60023695
60029545,60023695
60008908,60023695
60073942,60023695
60028851,60023695
60025667,60004279
60030856,60023439
60003678,60023439
60024937,60023439
60006521,60005261
60102806,60005261
60022282,60005261
60018152,60005261
60096667,60005261
60011578,60005261
60002461,60005261
60000466,60030832
60026924,60009165
60028237,60009165
60023557,60009165
60088402,60009165
60029261,60009165
60018843,60009165
60007927,60009165
60030726,60009165
60022890,60014662
60018435,60014662
60015739,60033131
60084104,60005767
60079163,60005767
60018749,60008724
60030982,60008724
60008176,60008724
60004654,60008724
60020096,60008724
60113147,60008724
60005200,60008724
60023681,60008724
60116608,60008724
60006235,60010910
60107553,60010910
60031835,60010910
115638522,60012641
60018917,60016280
60072481,60001426
60073988,60031138
60017603,60015057
60027929,60015057
60005158,60015057
60005413,60015057
60028870,60015057
60023525,60020663
60000403,60014582
60103337,60025685
60031901,60025685
60025122,60025685
60013379,60026976
60026357,60028872
60023982,60020423
60015470,60020423
60082393,60008787
60081165,60008787
60004929,60008787
60075404,60008787
60016498,60008787
60096153,60008787
60096131,60008787
60082394,60008787
